IATA,ICAO,Name,Country,Active
,CLF,Bristol Flying Centre,United Kingdom,N
,CLN,Barnes Olsen Aeroleasing,United Kingdom,N
,CPJ,Baltimore Air Transport,United States,N
E9,CXS,Boston-Maine Airways,United States,N
SN,DAT,Brussels Airlines,Belgium,Y
,EAH,Baltimore Airways,United States,N
,EBA,Bond Aviation,Italy,N
,EXB,Brazilian Army Aviation,Brazil,N
,EXP,Business Express Delivery,Canada,N
,FOS,Bel Limited,Russia,N
,HAW,Bangkok Aviation Center,Thailand,N
,HAX,Benair,Norway,N
NT,IBB,Binter Canarias,Spain,Y
,IRJ,Bonyad Airlines,Iran,N
,IVR,Burundaiavia,Kazakhstan,N
0B,JOR,Blue Air,Romania,Y
KJ,LAJ,British Mediterranean Airways,United Kingdom,Y
,LBY,Belle Air,Albania,N
,LED,Blom Geomatics,Norway,N
,LTL,Benin Littoral Airways,Benin,N
,LXJ,Bombardier Business Jet Solutions,United States,N
FB,LZB,Bulgaria Air,Bulgaria,Y
,MBR,Brazilian Navy Aviation,Brazil,N
8N,NKF,Barents AirLink,Sweden,Y
,NYB,Belgian Navy,Belgium,N
,OGJ,Bakoji Airlines Services,Nigeria,N
,PEB,Benders Air,Sweden,N
,PNT,Balmoral Central Contracts,South Africa,N
,POI,BGB Air,Kazakhstan,N
,PPS,Butte Aviation,United States,N
,RHD,Bond Air Services,United Kingdom,N
,RLR,Business Airfreight,United States,N
,RPX,BAC Express Airlines,United Kingdom,N
,RRS,Boscombe Down DERA (Formation),United Kingdom,N
,SCJ,Business Jet Sweden,Sweden,N
,SHT,British Airways Shuttle,United Kingdom,N
,SKH,British Sky Broadcasting,United Kingdom,N
,TXB,Bell Helicopter Textron,Canada,N
,UKA,Buzzaway Limited,United Kingdom,N
,VLX,Biz Jet Charter,United States,N
,VOL,Blue Chip Jet,Sweden,N
,WFD,BAE Systems,United Kingdom,N
,WTN,BAE Systems,United Kingdom,N
,XBO,Baseops International,United States,N
,XDA,Bureau Veritas,France,N
,XMS,British Airways,United Kingdom,N
,ZBA,Boskovic Air Charters Limited,Kenya,N
,SRJ,C Air Jet Airlines,Syrian Arab Republic,N
,ORO,C N Air,Spain,N
,TIP,C and M Aviation,United States,N
,RWG,C&M Airways,United States,N
,RMU,C.S.P.,AIR-MAUR,N
,CBI,CABI,Ukraine,N
,CPI,CAI,Italy,N
5C,ICL,CAL Cargo Air Lines,Israel,Y
,CMR,CAM Air Management,United Kingdom,N
,CTZ,CATA L,Argentina,N
,CCF,CCF Manager Airline,Germany,N
,CED,CEDTA (Compania Ecuatoriana De Transportes Aereos),Ecuador,N
,HBI,CHC Denmark,Denmark,N
,HEM,CHC Helicopters,Australia,N
AW,SCH,CHC Airways,Netherlands,N
,HKS,CHC Helikopter Service,Norway,N
,VCI,CI-Tours,Ivory Coast,N
,CKC,CKC Services,United States,N
,CMZ,CM Stair,Mauritania,N
,CNT,CNET,France,N
,OAP,COAPA AIR,Mexico,N
,PDR,COMAV,Namibia,N
,CRH,CRI Helicopters Mexico,Mexico,N
,IRO,CSA Air,United States,N
,CSE,CSE Aviation,United Kingdom,N
,CTQ,CTK Network Aviation,Ghana,N
,CBR,Cabair College of Air Training,United Kingdom,N
,CVE,Cabo Verde Express,Cape Verde,N
,CWD,Caernarfon Airworld,United Kingdom,N
,CCE,Cairo Air Transport Company,Egypt,N
,CGC,Cal Gulf Aviation,Sao Tome and Principe,N
,REZ,Cal-West Aviation,United States,N
,CSL,California Air Shuttle,United States,N
XG,CLI,Calima Aviacion,Spain,Y
MO,CAV,Calm Air,Canada,N
R9,CAM,Camai Air,United States,N
,KHM,Cambodia Airlines,Cambodia,N
UY,UYC,Cameroon Airlines,Cameroon,N
,HSO,Campania Helicopteros De Transporte,Spain,N
C6,CJA,CanJet,Canada,N
,PIL,Canada Jet Charters,Canada,N
CP,CDN,Canadian Airlines,Canada,Y
,CTG,Canadian Coast Guard,Canada,N
,HIA,Canadian Eagle Aviation,Canada,N
,CFC,Canadian Forces,Canada,N
,BZD,Canadian Global Air Ambulance,Canada,N
,CDN,Canadian Helicopters,Canada,N
,TKR,Canadian Interagency Forest Fire Centre,Canada,N
,XNC,Canadian National Telecommunications,Canada,N
5T,MPE,Canadian North,Canada,Y
,CDR,Canadian Regional Airlines,Canada,N
,CWH,Canadian Warplane Heritage Museum,Canada,N
W2,CWA,Canadian Western Airlines,Canada,N
,CWW,Canair,China,N
,CUI,Cancun Air,Mexico,N
9K,KAP,Cape Air,United States,Y
,CTO,Cape Air Transport,Australia,N
,SEM,Cape Central Airways,United States,N
,CMY,Cape Smythe Air,United States,N
,CPX,Capital Air Service,United States,N
,CPD,Capital Airlines,Kenya,N
,NCP,Capital Airlines Limited,Nigeria,N
PT,CCI,Capital Cargo International Airlines,United States,N
,CCQ,Capital City Air Carriers,United States,N
,EGL,Capital Trading Aviation,United Kingdom,N
,CEX,Capitol Air Express,United States,N
,CWZ,Capitol Wings Airline,United States,N
,VAN,Caravan Air,Mauritania,N
,CWN,Cardiff Wales Flying Club,United Kingdom,N
,FVA,Cardinal/Air Virginia,United States,N
,GOL,Cardolaar,Namibia,N
,CDI,Cards Air Services,Philippines,N
,CFH,Care Flight,Australia,N
,CDM,Carga Aerea Dominicana,Dominican Republic,N
,EST,Carga Express Internacional,Mexico,N
GG,GGC,Cargo 360,United States,N
,MCX,Cargo Express,Mauritania,N
,CRV,Cargo Ivoire,Ivory Coast,N
,CLM,Cargo Link (Caribbean),Barbados,N
,CTW,Cargo Three,Panama,N
2G,CRG,Cargoitalia,Italy,N
W8,CJT,Cargojet Airways,Canada,N
CV,CLX,Cargolux,Luxembourg,N
,CGM,Cargoman,Oman,N
,DEL,Carib Aviation,Antigua and Barbuda,N
,BCB,Carib Express,Barbados,N
,CBC,Caribair,Dominican Republic,N
,DCC,Caribbean Air Cargo,Barbados,N
,CLT,Caribbean Air Transport,Netherlands,N
BW,BWA,Caribbean Airlines,Trinidad and Tobago,Y
,IQQ,Caribbean Airways,Barbados,N
,TLC,Caribbean Express,United States,N
8B,GFI,Caribbean Star Airlines,Antigua and Barbuda,N
,CRT,Caribintair,Haiti,N
,CVG,Carill Aviation,United Kingdom,N
V3,KRP,Carpatair,Romania,Y
,CRR,Carranza,Chile,N
,ULS,Carroll Air Service,United States,N
,CMT,Casement Aviation,United States,N
,CSO,Casino Airline,United States,N
,CSP,Casper Air Service,United States,N
RV,CPN,Caspian Airlines,Iran,Y
,CSJ,Castle Aviation,United States,N
,CAZ,Cat Aviation,Switzerland,N
,CBT,Catalina Flying Boats,United States,N
,TEX,Catex,France,N
CX,CPA,Cathay Pacific,Hong Kong SAR of China,Y
,CJR,Caverton Helicopters,Nigeria,N
KX,CAY,Cayman Airways,Cayman Islands,Y
5J,CEB,Cebu Pacific,Philippines,Y
,CIL,Cecil Aviation,United Kingdom,N
,CEG,Cega Aviation,United Kingdom,N
,CEC,Celtic Airways,United Kingdom,N
,CWE,Celtic West,United Kingdom,N
7N,CNA,Centavia,Serbia,N
,CEV,Cente D'Essais En Vol,France,N
,CNL,Centennial Airlines,United States,N
,CNS,Centennial Flight Centre,Canada,N
,CVO,Center Vol,Spain,N
,CTS,Center-South,Russia,N
,CET,Centrafrican Airlines,Central African Republic,N
,CAX,Central Air Express,Democratic Republic of Congo,N
,CTL,Central Airlines,United States,N
,CNY,Central Airways,Sierra Leone,N
,ACN,Central American Airlines,Nicaragua,N
,YOG,Central Aviation,United States,N
,CCG,Central Connect Airlines,Czech Republic,Y
,DRN,Central De Discos De Reynosa,Mexico,N
,CMA,Central European Airlines,Czech Republic,N
,CHA,Central Flying Service,United States,N
,CEM,Central Mongolia Airways,Mongolia,N
,GLR,Central Mountain Air,Canada,N
,CQC,Central Queensland Aviation College,Australia,N
,CSI,Central Skyport,United States,N
C0,CLW,Centralwings,Poland,Y
,DTV,Centre Airlines,United States,N
,CGS,Centre of Applied Geodynamica,Russia,N
J7,CVC,Centre-Avia,Russia,N
,CCV,Centro De Helicopteros Corporativos,Mexico,N
,ACF,Centro de Formacion Aeronautica de Canarias,Spain,N
WE,CWC,Centurion Air Cargo,United States,N
,URY,Century Aviation,Mexico,N
,HAI,Century Aviation International,Canada,N
,XAD,Certified Air Dispatch,United States,N
,CER,Cetraca Aviation Service,Democratic Republic of the Congo,N
,IRU,Chabahar Airlines,Iran,N
,CLG,Chalair Aviation,France,N
OP,CHK,Chalk's Ocean Airways,United States,N
,CLS,Challenge Air Transport,Germany,N
,CHS,Challenge Aviation,Australia,N
,OFF,Challenge International Airlines,United States,N
,CHG,AC Challenge Aero,Ukraine,N
,CPH,Champagne Airlines,France,N
MG,CCP,Champion Air,United States,N
,NCH,Chanchangi Airlines,Nigeria,N
2Z,CGN,Changan Airlines,China,N
,CHN,Channel Island Aviation,United States,N
,WML,Chantilly Air,United States,N
,CPL,Chaparral Airlines,United States,N
S8,CSU,Chari Aviation Services,Chad,N
,CAH,Charlan Air Charter,South Africa,N
,HMD,Charlie Hammonds Flying Service,United States,N
,CGD,Charlotte Air National Guard,United States,N
,CHW,Charter Air,Austria,Y
,HRT,Chartright Air,Canada,N
RP,CHQ,Chautauqua Airlines,United States,Y
,CBB,Cheboksary Airenterprise JSC,Russia,N
,CHM,Chemech Aviation,Pakistan,N
,CHZ,Cherline,Russia,N
,CMK,Chernomor-Avia,Russia,N
,CBM,Cherokee Express,United States,N
,CCY,Cherry Air,United States,N
,CAB,Chesapeake Air Service,United States,N
,CVR,Chevron U.S.A,United States,N
,CYA,Cheyenne Airways,United States,N
,CGO,Chicago Air,United States,N
C8,WDY,Chicago Express,United States,N
,RAT,Chief Rat Flight Services,South Africa,N
,CCH,Chilchota Taxi Aereo,Mexico,N
,DES,Chilcotin Caribou Aviation,Canada,N
,CAD,Chilliwack Aviation,Canada,N
,ETN,Chim-Nir Aviation,Israel,N
CI,CAL,China Airlines,Taiwan,Y
CK,CKK,China Cargo Airlines,China,N
MU,CES,China Eastern Airlines,China,Y
,HXA,China Express Airlines,China,N
,CFA,China Flying Dragon Aviation,China,N
,CTH,China General Aviation Corporation,China,N
,CAG,China National Aviation Corporation,China,N
CJ,CBF,China Northern Airlines,China,N
WH,CNW,China Northwest Airlines,China,N
,CHC,China Ocean Helicopter Corporation,China,N
8Y,CYZ,China Postal Airlines,China,N
CZ,CSN,China Southern Airlines,China,Y
,CXN,China Southwest Airlines,China,N
HR,CUA,China United Airlines,China,Y
XO,CXH,China Xinhua Airlines,China,N
3Q,CYH,Yunnan Airlines,China,Y
,CGU,Chinguetti Airlines,Mauritania,N
,CEP,Chipola Aviation,United States,N
,CPW,Chippewa Air Commuter,United States,N
X7,CHF,Chitaavia,Russia,N
,CAS,Christman Air System,United States,N
,OEC,Christophorus Flugrettungsverein,Austria,N
,CHO,Chrome Air Services,United States,N
,CHU,Church Aircraft,United States,N
A2,CIU,Cielos Airlines,Peru,N
QI,CIM,Cimber Air,Denmark,Y
,RRU,Cirrus,Chile,N
,NTS,Cirrus Air,United States,N
C9,RUS,Cirrus Airlines,Germany,Y
,JTI,Cirrus Middle East,Lebanon,N
,FIV,Citationshares,United States,N
,XCX,Citibank,United States,N
,HZX,Citic General Aviation,China,N
CF,SDR,City Airline,Sweden,Y
G3,CIX,City Connexion Airlines,Burundi,Y
,XBG,City of Bangor,United States,N
WX,BCY,CityJet,Ireland,Y
,CAQ,Cityair (Chester) Limited,United Kingdom,N
,CII,Cityfly,Italy,N
CJ,CFE,BA CityFlyer,United Kingdom,Y
,CNB,Cityline Hungary,Hungary,N
,HSR,Citylink Airlines,United States,N
,CIW,Civair Airways,South Africa,N
,BKR,Civil Air Patrol South Carolina Wing,United States,N
CT,CAT,Civil Air Transport,Taiwan,N
,CIA,Civil Aviation Authority,Slovakia,N
,CIV,Civil Aviation Authority of New Zealand,New Zealand,N
,CBA,Civil Aviation Inspectorate of the Czech Republic,Czech Republic,N
,FMC,Claessens International Limited,United Kingdom,N
,CLK,Clark Aviation,United States,N
,CSF,Clasair,United Kingdom,N
,CLY,Clay Lacy Aviation,United States,N
,CGK,Click Airways,Kyrgyzstan,Y
,CLZ,Cloud 9 Air Charters,South Africa,N
,CLD,Clowes Estates Limited,United Kingdom,N
,SDJ,Club 328,United Kingdom,N
6P,ISG,Club Air,Italy,N
BX,CST,Coast Air,Norway,N
DQ,,Coastal Air,United States,Y
,TCL,Coastal Air Transport,United States,N
,CNG,Coastal Airways,United States,N
,CSV,Coastal Travels,Tanzania,N
,CHL,Cohlmia Aviation,United States,N
,OLR,Colaereos,Ecuador,N
,CLE,Colemill Enterprises,United States,N
9L,CJC,Colgan Air,United States,Y
,CAE,Colibri Aviation,Canada,N
,CCX,Colt International,United States,N
,COL,Columbia Airlines,Canada,N
,WCO,Columbia Helicopters,United States,N
,KLR,Columbus Air Transport,United States,N
,GHP,Colvin Aviation,United States,N
OH,COM,Comair,United States,Y
MN,CAW,Comair,South Africa,Y
,CDE,Comed Group,United Kingdom,N
,CVV,Comeravia,Venezuela,N
,CRS,Comercial Aerea,Mexico,N
,CMG,Comet Airlines,Nigeria,N
,FYN,Comfort Air,Germany,N
,CLA,Comlux Aviation,Switzerland,N
,CMH,Commair Aviation,United Kingdom,N
,CTM,Commandement Du Transport Aerien Militaire Francais,France,N
,CML,Commander Air Charter,Canada,N
,CRM,Commander Mexicana,Mexico,N
,CMS,Commercial Aviation,Canada,N
,GAR,Commodore Aviation,Australia,N
,CJS,Commonwealth Jet Service,United States,N
C5,UCA,CommutAir,United States,Y
KR,CWK,Comores Airlines,Comoros,Y
,CGR,Compagnia Generale Ripreseaeree,Italy,N
,CMM,Compagnie Aerienne du Mali,Mali,N
,CPM,Compagnie Mauritanienne Des Transports,Mauritania,N
,GIC,Compagnie de Bauxites de Guinee,Guinea,N
,AIF,Compania Aerea de Valencia,Spain,N
,ATF,Compania Aerotecnicas Fotograficas,Spain,N
,ASU,Compania Boliviana de Transporte Aereo Privado Aerosur,ASUR,N
,LCT,Compania De Actividades Y Servicios De Aviacion,Spain,N
,EJV,Compania Ejecutiva,Mexico,N
,HSE,Compania Helicopteros Del Sureste,Spain,N
,MDR,Compania Mexicana De Aeroplanos,Mexico,N
GJ,MXC,Compania Mexicargo,Mexico,N
,HSS,Compania Transportes Aereos Del Sur,Spain,N
,TAV,Compania de Servicios Aereos Tavisa,Spain,N
,CYF,Company Flight,Denmark,N
CP,CPZ,Compass Airlines,United States,Y
,CPS,Compass International Airways,United Kingdom,N
,XCO,Compuflight Operations Service,United States,N
,XCS,Compuserve Incorporated,United States,N
,CRC,Conair Aviation,Canada,N
,COD,Concordavia,Ukraine,N
,CNR,Condor Aero Services,United States,N
,CIB,Condor,Germany,N
DE,CFG,Condor Flugdienst,Germany,Y
,COF,Confort Air,Canada,N
,CAK,Congo Air,Bahamas,N
,CGA,Congressional Air,United States,N
,ROY,Conifair Aviation,Canada,N
,BSN,Connectair Charters,Canada,N
,CAC,Conquest Airlines,United States,N
,CXO,Conroe Aviation Services,United States,N
6A,CHP,Consorcio Aviaxsa,Mexico,Y
,VCH,Consorcio Helitec,Venezuela,N
,UZA,Constanta Airline,Ukraine,N
C3,KIS,Contact Air,Germany,Y
,XCL,Contel ASC,United States,N
CO,COA,Continental Airlines,United States,Y
PC,PVV,Continental Airways,Russia,N
CO,,Continental Express,United States,Y
CS,CMI,Continental Micronesia,United States,Y
,CON,Continental Oil,United States,N
V0,VCV,Conviasa,Venezuela,Y
,CKA,Cook Inlet Aviation,United States,N
,SVY,Cooper Aerial Surveys,United Kingdom,N
CM,CMP,Copa Airlines,Panama,Y
,CAT,Copenhagen Airtaxi,Denmark,N
,COP,Copper State Air Service,United States,N
,AAQ,Copterline,Finland,Y
,CCW,Coptrade Air Transport,Sudan,N
,CAI,Corendon Airlines,Turkey,Y
,CRA,Coronado Aerolineas,Colombia,N
,CPB,Corpac Canada,Canada,N
,CNC,Corporacion Aereo Cencor,Mexico,N
,CPG,Corporacion Aeroangeles,Mexico,N
,CGY,Corporacion Paraguaya De Aeronautica,Paraguay,N
,CPT,Corporate Air,United States,N
,CPR,Corporate Air,United States,N
,CPO,Corporate Aircraft Company,United States,N
,COO,Corporate Airlink,Canada,N
,CKE,Corporate Aviation Services,United States,N
,VHT,Corporate Flight International,United States,N
,VTE,Corporate Flight Management,United States,N
,CJI,Corporate Jets,United States,N
SS,CRL,Corsairfly,France,Y
XK,CCM,Corse-Mediterranee,France,Y
F5,COZ,Cosmic Air,Nepal,N
,CHI,Cougar Helicopters,Canada,N
,MGB,Coulson Flying Service,United Kingdom,N
,NSW,Country Connection Airlines,Australia,N
,CIK,Country International Airlines,Kyrgyzstan,N
,CSD,Courier Services,United States,N
,CUT,Court Helicopters,South Africa,N
,CVL,Coval Air,Canada,N
,COW,Cowi,Netherlands,N
,COY,Coyne Aviation,United Kingdom,N
,CFD,Cranfield University,United Kingdom,N
,CRE,Cree Airways,Canada,N
,ELM,Crelam,Mexico,N
,CAN,Crest Aviation,United Kingdom,Y
,KRM,Crimea Universal Avia,Ukraine,N
OU,CTN,Croatia Airlines,Croatia,Y
,HRZ,Croatian Air Force,Croatia,N
,CRX,Cross Aviation,United Kingdom,N
QE,ECC,Crossair Europe,Switzerland,N
,CWX,Crow Executive Air,United States,N
,CKR,Crown Air Systems,United States,N
,CRO,Crown Airways,United States,Y
,CRW,Crownair,Canada,N
,VCR,Cruiser Linhas Aereas,Brazil,N
,CTY,Cryderman Air Service,United States,N
,CYT,Crystal Shamrock,United States,N
CU,CUB,Cubana de Aviación,Cuba,Y
,CBL,Cumberland Airways (Nicholson Air Service),United States,N
,CTT,Custom Air Transport,United States,N
,RGN,Cygnus Air,Spain,N
,CYC,Cyprair Tours,Cyprus,N
,CYS,Cypress Airlines,Canada,N
CY,CYP,Cyprus Airways,Cyprus,Y
YK,,Cyprus Turkish Airlines,Turkey,Y
,CEF,Czech Air Force,Czech Republic,N
,AHD,Czech Air Handling,Czech Republic,N
OK,CSA,Czech Airlines,Czech Republic,Y
,CIE,Czech Government Flying Service,Czech Republic,N
,DDA,D & D Aviation,United States,N
,DNK,D&K Aviation,United States,N
,DHE,DAP Helicopteros,Chile,N
,VLF,DFS UK Limited,United Kingdom,N
WD,DSR,DAS Air Cargo,Uganda,N
,RKC,DAS Airlines,Democratic Republic of the Congo,N
DX,DTR,DAT Danish Air Transport,Denmark,Y
,ENT,DAT Enterprise Limited,United Kingdom,N
,BDN,DERA Boscombe Down,United Kingdom,N
,DSN,DESNA,Ukraine,N
,DET,DETA Air,Kazakhstan,N
,DGO,DGO Jet,Mexico,N
,DAE,DHL Aero Expreso,Panama,N
,DHK,DHL Air,United Kingdom,N
,DHV,DHL Aviation,South Africa,N
ES,DHX,DHL International,Bahrain,N
L3,JOS,DHL de Guatemala,Guatemala,N
,RSK,DSWA,United States,N
D3,DAO,Daallo Airlines,Djibouti,Y
N2,DAG,Dagestan Airlines,Russia,N
,DHA,Dahla Airlines,Democratic Republic of Congo,N
,DCS,Daimler Chrysler Aviation,Germany,N
,DCX,Daimler-Chrysler,United States,N
,DKA,Daka,Kazakhstan,N
,DLR,Dala Air Services,Nigeria,N
H8,KHB,Dalavia,Russia,Y
,DXP,Dallas Express Airlines,United States,N
,DAS,Damascene Airways,Syrian Arab Republic,N
,DSA,Danbury Airways,United States,N
,DOP,Dancopter,Denmark,N
,DAF,Danish Air Force,Denmark,N
,DAR,Danish Army,Denmark,N
,DNY,Danish Navy,Denmark,N
,DNU,Danu Oro Transportas,Lithuania,N
,DRT,Darta,France,N
0D,DWT,Darwin Airline,Switzerland,Y
,DSQ,Dasab Airlines,Uganda,N
,DSH,Dash Air Charter,United States,N
,GOB,Dash Aviation,United Kingdom,N
,DGX,Dasnair,Switzerland,N
,DAB,Dassault Aviation,France,N
,CVF,Dassault Falcon Jet Corporation,United States,N
,DSO,Dassault Falcon Service,France,N
,DTN,Data International,Sudan,N
,XDT,Date Transformation Corp,United States,N
D5,DAU,Dauair,Germany,N
,DCO,David Crawshaw Consultants Limited,United Kingdom,N
,DWN,Dawn Air,United States,N
,DJS,DayJet,United States,N
,DAY,Daya Aviation,Sri Lanka,N
,DHC,De Havilland,Canada,N
,IAY,Deadalos Flugtbetriebs,Austria,N
,DAA,Decatur Aviation,United States,N
,DKN,Deccan Aviation,India,N
,DLK,Deccan Aviation (Lanka),Sri Lanka,N
,DER,Deer Jet,China,N
,JDC,Deere and Company,United States,N
,DWR,Delaware Skyways,United States,N
,DEA,Delta Aerotaxi,Italy,Y
,SNO,Delta Air Charter,Canada,N
,ELJ,Delta Air Elite,United States,N
DL,DAL,Delta Air Lines,United States,Y
,KMB,Delta Engineering Aviation,United Kingdom,N
,DLI,Delta Express International,Ukraine,N
,DSU,Delta State University,United States,N
,DNM,Denim Air,Netherlands,Y
,FEC,Denver Express,United States,N
,DJT,Denver Jet,United States,N
,FGC,Departmento De Agricultura De La Generalitat De Cataluna,Spain,N
,DRY,Deraya Air Taxi,Indonesia,N
,DRX,Des R Cargo Express,Mauritania,N
,MIZ,Desarrollo Milaz,Mexico,N
,DTY,Destiny Air Services,Sierra Leone,N
2A,,Deutsche Bahn,Germany,Y
1I,AMB,Deutsche Rettungsflugwacht,Germany,N
,LFO,Deutsches Zentrum fur Luft-und Raumfahrt EV,Germany,N
,DIS,Di Air,Serbia,N
,SPK,Diamond Aviation,United States,N
,DRB,Didier Rousset Buy,Chile,N
,DGT,Digital Equipment Corporation,United States,N
D7,RDN,Dinar,Argentina,N
,DIP,Diplomatic Freight Services,United Kingdom,N
,ENA,Direccion General de Aviacion Civil y Telecomunicasciones,Spain,N
,DIA,Direct Air,United States,N
,XAP,Direct Air trading as Midway Connection,United States,N
,DCT,Direct Flight,United Kingdom,N
,SXP,Sky Express,Poland,N
AW,DIR,Dirgantara Air Service,Indonesia,N
,DCV,Discover Air,United States,N
DH,DVA,Discovery Airways,United States,N
,XDS,Dispatch Services,United States,N
,DIX,Dix Aviation,Germany,N
,DEE,Dixie Airways,United States,N
D8,DJB,Djibouti Airlines,Djibouti,Y
,UDN,Dniproavia,Ukraine,Y
,FDN,Flying Dolphin Airlines,United Arab Emirates,N
,IXX,Dolphin Express Airlines,United States,N
,DPL,Dome Petroleum,Canada,N
,MYO,Dominguez Toledo (Grupo Mayoral),Spain,N
DO,DOA,Dominicana de Aviaci,Dominican Republic,Y
E3,DMO,Domodedovo Airlines,Russia,Y
,DVB,Don Avia,Kazakhstan,N
,DON,Donair Flying Club,United Kingdom,N
5D,UDC,DonbassAero,Ukraine,Y
,DAD,Dorado Air,Dominican Republic,N
,DOR,Dornier,Germany,N
,DAV,Dornier Aviation Nigeria,Nigeria,N
,DOM,Dos Mundos,Dominican Republic,N
KA,HDA,Dragonair,DRAGON,Y
,DCA,Dreamcatcher Airways,United Kingdom,N
KB,DRK,Druk Air,Bhutan,Y
,DRE,Drummond Island Air,United States,N
,DUB,Dubai Airwing,United Arab Emirates,N
,DBK,Dubrovnik Air,Croatia,Y
,DUK,Ducair,Luxembourg,N
,DBJ,Duchess of Britany (Jersey) Limited,United Kingdom,N
,LPD,UK Royal/HRH Duke of York,United Kingdom,N
,DUN,Dun'Air,Mauritania,N
,PHD,Duncan Aviation,United States,N
,VVF,Dunyaya Bakis Hava Tasimaciligi,Turkey,N
,DUO,Duo Airways,United Kingdom,N
,DJE,Durango Jet,Mexico,N
,DNL,Dutch Antilles Express,Netherlands Antilles,Y
,DCE,Dutch Caribbean Express,Netherlands Antilles,N
,DBR,Dutchbird,Netherlands,N
,DFS,Dwyer Aircraft Services,United States,N
,XDY,Dynair Services,United States,N
,DNR,Dynamair Aviation,Canada,N
,DYE,Dynamic Air,Netherlands,N
DI,BAG,dba,Germany,Y
,EHD,E H Darby Aviation,United States,N
1C,,Electronic Data Systems,Switzerland,N
,EAD,EAA Escola De Aviacao Aerocondor,Portugal,N
,EXW,Executive Airlines Services,Nigeria,N
,EFS,EFAOS- Agencia De Viagens e Turismo,Angola,N
,EFD,EFD Eisele Flugdienst,Germany,N
,FSD,EFS-Flugservice,Germany,N
,EIS,EIS Aircraft,Germany,N
,IAG,EPAG Groupe Air France,France,N
,ESI,ESI Eliservizi Italiani,Italy,N
,EUY,EU Airways,Ireland,N
VE,EUJ,EUjet,Ireland,N
BR,EVA,EVA Air,Taiwan,Y
,ICR,Eagle Aero,United States,N
,EGR,Eagle Air,Sierra Leone,N
H7,,Eagle Air,Uganda,Y
,EGX,Eagle Air Company,Thailand,N
,FEI,Eagle Air Iceland,Iceland,N
,EGU,Eagle Aviation,Uganda,N
,GYP,Eagle Aviation,United Kingdom,N
,EGN,Eagle Aviation France,France,N
,SEG,Eagle International,Senegal,N
,EGJ,Eagle Jet Charter,United States,N
,EMD,Eaglemed (Ballard Aviation),United States,N
,ERX,Earth Airlines Services,Nigeria,N
QU,UGX,East African,Uganda,Y
S9,HSA,East African Safari Air,Kenya,N
,EXZ,East African Safari Air Express,Kenya,N
,EMU,East Asia Airlines,Macao,N
,ECT,East Coast Airways,South Africa,N
,ECJ,East Coast Jets,United States,N
,EHA,East Hampton Aire,United States,N
,EKC,East Kansas City Aviation,United States,N
,CTK,East Midlands Helicopters,United Kingdom,N
,DXH,East Star Airlines,China,N
,EWA,East-West Airlines,Australia,N
,EAZ,Eastern Air,Zambia,N
,EAX,Eastern Air Executive,United Kingdom,N
T3,EZE,Eastern Airways,United Kingdom,Y
,EAQ,Eastern Australia Airlines,Australia,N
,ECI,Eastern Carolina Aviation,United States,N
,GNS,Eastern Executive Air Charter,United Kingdom,N
,LIS,Eastern Express,Kazakhstan,N
,EME,Eastern Metro Express,United States,N
,EPB,Eastern Pacific Aviation,Canada,N
,ESJ,Eastern Sky Jets,United Arab Emirates,N
DK,ELA,Eastland Air,Australia,Y
W9,SGR,Eastwind Airlines,United States,N
,FYE,Easy Link Aviation Services,Nigeria,N
,CMN,Eckles Aircraft,United States,N
,EJT,Eclipse Aviation,United States,N
,ECQ,Eco Air,Nigeria,N
,DEI,Ecoair,Algeria,N
,ECX,Ecomex Air Cargo,Angola,N
,ECD,Ecotour,Mexico,N
,XCC,Ecoturistica de Xcalak,Mexico,N
,ECV,Ecuatoguineana De Aviacion (EGA),Equatorial Guinea,N
,EQC,Ecuatorial Cargo,Equatorial Guinea,N
,ECU,Ecuavia,Ecuador,Y
WK,EDW,Edelweiss Air,Switzerland,Y
,SLO,Edgartown Air,United States,N
,EDC,Edinburgh Air Charter,United Kingdom,N
,EDJ,Edwards Jet Center of Montana,United States,N
,EIJ,Efata Papua Airlines,Indonesia,N
MS,MSR,Egyptair,Egypt,Y
,MSX,Egyptair Cargo,Egypt,N
,EGY,Egyptian Air Force,Egypt,N
,EJX,Egyptian Aviation,Egypt,N
,EMA,Egyptian Aviation Company,Egypt,N
,EIX,Ei Air Exports,Ireland,N
,EIR,Eirjet,Ireland,N
LY,ELY,El Al Israel Airlines,Israel,Y
,CMX,El Caminante Taxi Aereo,Mexico,N
,GLQ,El Quilada International Aviation,Sudan,N
,ELS,El Sal Air,El Salvador,N
,ESC,El Sol De America,Venezuela,N
UZ,BRQ,El-Buraq Air Transport,Libya,Y
,ELX,Elan Express,United States,N
,LBR,Elbe Air Transport,Germany,N
,NLK,Elbrus-Avia Air Enterprise,Russia,N
,DND,Eldinder Aviation,Sudan,N
,PDV,Elicar,Italy,N
,EDO,Elidolomiti,Italy,N
,ELB,Elieuro,Italy,N
,EFG,Elifriulia,Italy,N
,ELH,Elilario Italia,Italy,N
,EOA,Elilombarda,Italy,N
,MEE,Elimediterranea,Italy,N
,VUL,Elios,Italy,N
,IEP,Elipiu',Italy,N
,RSA,Elisra Airlines,Sudan,N
,EAI,Elite Air,Togo,N
,EJD,Elite Jets,United Arab Emirates,N
