IATA,ICAO,Name,City,Country,Latitude,Longitude
ALW,KALW,Walla Walla Regional Airport,Walla Walla,United States,46.09489822,-118.288002
APN,KAPN,Alpena County Regional Airport,Alpena,United States,45.0780983,-83.56030273
ATY,KATY,Watertown Regional Airport,Watertown,United States,44.91400146,-97.15470123
BFD,KBFD,Bradford Regional Airport,Bradford,United States,41.8031005859375,-78.64009857177734
BFF,KBFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,United States,41.87400055,-103.5960007
BKW,KBKW,Raleigh County Memorial Airport,Beckley,United States,37.7873001099,-81.1241989136
BQK,KBQK,Brunswick Golden Isles Airport,Brunswick,United States,31.2588005065918,-81.46649932861328
BRL,KBRL,Southeast Iowa Regional Airport,Burlington,United States,40.783199310302734,-91.12550354003906
CEC,KCEC,Jack Mc Namara Field Airport,Crescent City,United States,41.78020096,-124.2369995
CGI,KCGI,Cape Girardeau Regional Airport,Cape Girardeau,United States,37.22529983520508,-89.57080078125
CIU,KCIU,Chippewa County International Airport,Sault Ste Marie,United States,46.25080108642578,-84.47239685058594
CKB,KCKB,North Central West Virginia Airport,Clarksburg,United States,39.2966003418,-80.2281036377
CLM,KCLM,William R Fairchild International Airport,Port Angeles,United States,48.12020111083984,-123.5
CMX,KCMX,Houghton County Memorial Airport,Hancock,United States,47.168399810791016,-88.48909759521484
DDC,KDDC,Dodge City Regional Airport,Dodge City,United States,37.76340103149414,-99.9655990600586
DUJ,KDUJ,DuBois Regional Airport,Du Bois,United States,41.17829895,-78.8986969
EAU,KEAU,Chippewa Valley Regional Airport,Eau Claire,United States,44.86579895019531,-91.48429870605467
EKO,KEKO,Elko Regional Airport,Elko,United States,40.82490158081055,-115.79199981689452
EWB,KEWB,New Bedford Regional Airport,New Bedford,United States,41.67610168457031,-70.95690155029297
FAY,KFAY,Fayetteville Regional Grannis Field,Fayetteville,United States,34.9911994934082,-78.88030242919922
GGW,KGGW,Wokal Field Glasgow International Airport,Glasgow,United States,48.212502,-106.614998
GRI,KGRI,Central Nebraska Regional Airport,Grand Island,United States,40.96749877929688,-98.30960083007812
HOT,KHOT,Memorial Field,Hot Springs,United States,34.47800064086914,-93.09619903564452
HTS,KHTS,Tri-State/Milton J. Ferguson Field,Huntington,United States,38.36669922,-82.55799866
KIO,Q51,Kili Airport,Kili Island,Marshall Islands,5.644515,169.119507
IRK,KIRK,Kirksville Regional Airport,Kirksville,United States,40.09349822998047,-92.5448989868164
JMS,KJMS,Jamestown Regional Airport,Jamestown,United States,46.92969894,-98.67819977
LAR,KLAR,Laramie Regional Airport,Laramie,United States,41.31209945678711,-105.6750030517578
LBE,KLBE,Arnold Palmer Regional Airport,Latrobe,United States,40.27590179,-79.40480042
LBF,KLBF,North Platte Regional Airport Lee Bird Field,North Platte,United States,41.12620163,-100.6839981
LEB,KLEB,Lebanon Municipal Airport,Lebanon,United States,43.6260986328,-72.30419921880001
LMT,KLMT,Crater Lake-Klamath Regional Airport,Klamath Falls,United States,42.156101,-121.733002
LNS,KLNS,Lancaster Airport,Lancaster,United States,40.121700286865234,-76.29609680175781
LWT,KLWT,Lewistown Municipal Airport,Lewistown,United States,47.04930114746094,-109.46700286865234
LYH,KLYH,Lynchburg Regional Preston Glenn Field,Lynchburg,United States,37.326698303222656,-79.20040130615234
MKG,KMKG,Muskegon County Airport,Muskegon,United States,43.16949844,-86.23819733
MLS,KMLS,Frank Wiley Field,Miles City,United States,46.428001403808594,-105.88600158691406
MSL,KMSL,Northwest Alabama Regional Airport,Muscle Shoals,United States,34.74530029,-87.61019897
OTH,KOTH,Southwest Oregon Regional Airport,North Bend,United States,43.41709899902344,-124.24600219726562
OWB,KOWB,Owensboro Daviess County Airport,Owensboro,United States,37.74010086,-87.16680145
PIB,KPIB,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,United States,31.467100143432617,-89.33709716796875
PIH,KPIH,Pocatello Regional Airport,Pocatello,United States,42.9098014831543,-112.59600067138672
PIR,KPIR,Pierre Regional Airport,Pierre,United States,44.38270187,-100.2860031
PLN,KPLN,Pellston Regional Airport of Emmet County Airport,Pellston,United States,45.57089996,-84.79669952
PSM,KPSM,Portsmouth International at Pease Airport,Portsmouth,United States,43.0778999329,-70.8233032227
RDG,KRDG,Reading Regional Carl A Spaatz Field,Reading,United States,40.37850189208984,-75.96520233154297
RHI,KRHI,Rhinelander Oneida County Airport,Rhinelander,United States,45.63119888305664,-89.46749877929688
RKS,KRKS,Southwest Wyoming Regional Airport,Rock Springs,United States,41.5942,-109.065001
RUT,KRUT,Rutland - Southern Vermont Regional Airport,Rutland,United States,43.52939987,-72.94960022
SBP,KSBP,San Luis County Regional Airport,San Luis Obispo,United States,35.2368011475,-120.641998291
SHR,KSHR,Sheridan County Airport,Sheridan,United States,44.76919937133789,-106.9800033569336
SLK,KSLK,Adirondack Regional Airport,Saranac Lake,United States,44.38529968261719,-74.2061996459961
SLN,KSLN,Salina Municipal Airport,Salina,United States,38.79100036621094,-97.6521987915039
SMX,KSMX,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,United States,34.89889908,-120.4570007
TUP,KTUP,Tupelo Regional Airport,Tupelo,United States,34.26810073852539,-88.7698974609375
UIN,KUIN,Quincy Regional Baldwin Field,Quincy,United States,39.94269943,-91.19460297
VCT,KVCT,Victoria Regional Airport,Victoria,United States,28.85260009765625,-96.9185028076172
VLD,KVLD,Valdosta Regional Airport,Valdosta,United States,30.78249931335449,-83.27670288085938
WRL,KWRL,Worland Municipal Airport,Worland,United States,43.9656982421875,-107.95099639892578
YKM,KYKM,Yakima Air Terminal McAllister Field,Yakima,United States,46.56819916,-120.5439987
ECN,LCEN,Ercan International Airport,Nicosia,Cyprus,35.15470123291016,33.49610137939453
RJL,LELO,Logroño-Agoncillo Airport,Logroño-Agoncillo,Spain,42.4609534888,-2.32223510742
IDY,LFEY,Île d'Yeu Airport,Île d'Yeu,France,46.71860122680664,-2.3911099433898926
ANE,LFJR,Angers-Loire Airport,Angers/Marcé,France,47.560299,-0.312222
LTT,LFTZ,La Môle Airport,La Môle,France,43.205399,6.482
JSY,LGSO,Syros Airport,Syros Island,Greece,37.4227981567,24.9508991241
PEV,LHPP,Pécs-Pogány Airport,Pécs-Pogány,Hungary,45.990898,18.240996
SOB,LHSM,Sármellék International Airport,Sármellék,Hungary,46.686391,17.159084
AOT,LIMW,Aosta Airport,Aosta,Italy,45.738499,7.36872
QSR,LIRI,Salerno Costa d'Amalfi Airport,Salerno,Italy,40.620399,14.9113
CVU,LPCR,Corvo Airport,Corvo,Portugal,39.671501,-31.1136
BNX,LQBK,Banja Luka International Airport,Banja Luka,Bosnia and Herzegovina,44.94139862060547,17.297500610351562
USQ,LTBO,Uşak Airport,Usak,Turkey,38.68149948120117,29.47170066833496
KSY,LTCF,Kars Airport,Kars,Turkey,40.562198638916016,43.1150016784668
SFQ,LTCH,Şanlıurfa Airport,Sanliurfa,Turkey,37.09429931640625,38.84709930419922
KCM,LTCN,Kahramanmaraş Airport,Kahramanmaras,Turkey,37.5388259888,36.9535217285
AJI,LTCO,Ağrı Airport,Agri,Turkey,39.654541015625,43.025978088378906
ADF,LTCP,Adıyaman Airport,Adiyaman,Turkey,37.7313995361,38.4688987732
ISE,LTFC,Süleyman Demirel International Airport,Isparta,Turkey,37.8554000854,30.3684005737
EDO,LTFD,Balıkesir Körfez Airport,Balikesir Korfez,Turkey,39.554599762,27.0137996674
SZF,LTFH,Samsun Çarşamba Airport,Samsun,Turkey,41.254501,36.567101
ILZ,LZZI,Žilina Airport,Žilina,Slovakia,49.2314987183,18.6135005951
GDT,MBGT,JAGS McCartney International Airport,Cockburn Town,Turks and Caicos Islands,21.444499969482425,-71.14230346679688
MDS,MBMC,Middle Caicos Airport,Middle Caicos,Turks and Caicos Islands,21.82602,-71.8025
SLX,MBSY,Salt Cay Airport,Salt Cay,Turks and Caicos Islands,21.3330001831,-71.1999969482
AZS,MDCY,Samaná El Catey International Airport,Samana,Dominican Republic,19.2670001984,-69.7419967651
JBQ,MDJB,La Isabela International Airport,La Isabela,Dominican Republic,18.57250022888184,-69.98560333251953
PBR,MGPB,Puerto Barrios Airport,Puerto Barrios,Guatemala,15.7309,-88.583801
AAZ,MGQZ,Quezaltenango Airport,Quezaltenango,Guatemala,14.8656,-91.501999
UTK,03N,Utirik Airport,Utirik Island,Marshall Islands,11.222,169.852005
AHS,MHAH,Ahuas Airport,Ahuas,Honduras,15.4722,-84.352203
PEU,MHPL,Puerto Lempira Airport,Puerto Lempira,Honduras,15.2622,-83.781197
MIJ,MLIP,Mili Island Airport,Mili Island,Marshall Islands,6.08333,171.733002
CYW,MMCY,Captain Rogelio Castillo National Airport,Celaya,Mexico,20.546,-100.887001
CUA,MMDA,Ciudad Constitución Airport,Ciudad Constitución,Mexico,25.053800582886,-111.61499786377
GUB,MMGR,Guerrero Negro Airport,Guerrero Negro,Mexico,28.0261,-114.024002
JAL,MMJA,El Lencero Airport,Jalapa,Mexico,19.4750995636,-96.7975006104
CTD,MPCE,Alonso Valderrama Airport,Chitré,Panama,7.987840175628662,-80.40969848632812
ONX,MPEJ,Enrique Adolfo Jimenez Airport,Colón,Panama,9.356639862060549,-79.86740112304688
JQE,MPJE,Jaqué Airport,Jaqué,Panama,7.51777982711792,-78.1572036743164
PLP,MPLP,Captain Ramon Xatruch Airport,La Palma,Panama,8.406669616699219,-78.1417007446289
TTQ,MRAO,Aerotortuguero Airport,Roxana,Costa Rica,10.42,-83.6095
BCL,MRBC,Barra del Colorado Airport,Pococi,Costa Rica,10.768699645996094,-83.58560180664062
PBP,MRIA,Islita Airport,Nandayure,Costa Rica,9.856109619140623,-85.37079620361328
PJM,MRPJ,Puerto Jimenez Airport,Puerto Jimenez,Costa Rica,8.533329963684082,-83.30000305175781
SYQ,MRPV,Tobias Bolanos International Airport,San Jose,Costa Rica,9.957050323486328,-84.13980102539062
JEE,MTJE,Jérémie Airport,Jeremie,Haiti,18.66309928894043,-74.17030334472656
PAX,MTPX,Port-de-Paix Airport,Port-de-Paix,Haiti,19.9335994720459,-72.84860229492188
TND,MUTD,Alberto Delgado Airport,Trinidad,Cuba,21.788299560546875,-79.99720001220703
COX,MYAK,Congo Town Airport,Andros,Bahamas,24.158701,-77.589798
ATC,MYCA,Arthur's Town Airport,Arthur's Town,Bahamas,24.6294,-75.673797
TBI,MYCB,New Bight Airport,Cat Island,Bahamas,24.3153,-75.452301
CRI,MYCI,Colonel Hill Airport,Colonel Hill,Bahamas,22.7455997467,-74.1824035645
PID,MYPI,Nassau Paradise Island Airport,Nassau,Bahamas,25.08300018310547,-77.30000305175781
AIU,NCAT,Enua Airport,Atiu Island,Cook Islands,-19.96780014038086,-158.11900329589844
MGS,NCMG,Mangaia Island Airport,Mangaia Island,Cook Islands,-21.89598655700684,-157.9066619873047
MHX,NCMH,Manihiki Island Airport,Manihiki Island,Cook Islands,-10.376700401306152,-161.0019989013672
MUK,NCMK,Mauke Airport,Mauke Island,Cook Islands,-20.13610076904297,-157.34500122070312
MOI,NCMR,Mitiaro Island Airport,Mitiaro Island,Cook Islands,-19.842500686645508,-157.7030029296875
PYE,NCPY,Tongareva Airport,Penrhyn Island,Cook Islands,-9.01436996459961,-158.03240966796875
ICI,NFCI,Cicia Airport,Cicia,Fiji,-17.7432994843,-179.341995239
PTF,NFFO,Malolo Lailai Island Airport,Malolo Lailai Island,Fiji,-17.7779006958,177.197006226
KDV,NFKD,Vunisea Airport,Vunisea,Fiji,-19.0580997467,178.156997681
MNF,NFMA,Mana Island Airport,Mana Island,Fiji,-17.6730995178,177.098007202
MFJ,NFMO,Moala Airport,Moala,Fiji,-18.5666999817,179.951004028
NGI,NFNG,Ngau Airport,Ngau,Fiji,-18.1156005859,179.339996338
LKB,NFNK,Lakeba Island Airport,Lakeba Island,Fiji,-18.1991996765,-178.817001343
LBS,NFNL,Labasa Airport,Lambasa,Fiji,-16.466699600219727,179.33999633789062
TVU,NFNM,Matei Airport,Matei,Fiji,-16.6905994415,-179.876998901
KXF,NFNO,Koro Island Airport,Koro Island,Fiji,-17.3458003998,179.42199707
RTA,NFNR,Rotuma Airport,Rotuma,Fiji,-12.482500076293944,177.0709991455078
SVU,NFNS,Savusavu Airport,Savusavu,Fiji,-16.8027992249,179.341003418
EUA,NFTE,Kaufana Airport,Eua Island,Tonga,-21.3782997131,-174.957992554
HPA,NFTL,Lifuka Island Airport,Lifuka,Tonga,-19.777000427246094,-174.34100341796875
NFO,NFTO,Mata'aho Airport,"Angaha, Niuafo'ou Island",Tonga,-15.5707998276,-175.632995605
NTT,NFTP,Kuini Lavenia Airport,Niuatoputapu,Tonga,-15.977297,-173.791089
VBV,NFVB,Vanua Balavu Airport,Vanua Balavu,Fiji,-17.268999099731445,-178.9759979248047
IUE,NIUE,Niue International Airport,Alofi,Niue,-19.079030990600582,-169.92559814453125
FUT,NLWF,Pointe Vele Airport,Futuna Island,Wallis and Futuna,-14.3114004135,-178.065994263
MXS,NSMA,Maota Airport,Savaii Island,Samoa,-13.742300033569336,-172.25799560546875
APK,NTGD,Apataki Airport,Apataki,French Polynesia,-15.5736,-146.414993
AHE,NTHE,Ahe Airport,Ahe,French Polynesia,-14.428099632263184,-146.2570037841797
AUQ,NTMN,Hiva Oa-Atuona Airport,Hiva-oa,French Polynesia,-9.76879024506,-139.011001587
UAP,NTMP,Ua Pou Airport,Ua Pou,French Polynesia,-9.35167,-140.078003
UAH,NTMU,Ua Huka Airport,Ua Huka,French Polynesia,-8.93611,-139.552002
MTV,NVSA,Mota Lava Airport,Ablow,Vanuatu,-13.6660003662,167.712005615
SLH,NVSC,Sola Airport,Sola,Vanuatu,-13.8516998291,167.537002563
TOH,NVSD,Torres Airstrip,Loh/Linua,Vanuatu,-13.3280000687,166.638000488
EAE,NVSE,Siwo Airport,Sangafa,Vanuatu,-17.0902996063,168.343002319
CCV,NVSF,Craig Cove Airport,Craig Cove,Vanuatu,-16.264999,167.923996
LOD,NVSG,Longana Airport,Longana,Vanuatu,-15.3066997528,167.966995239
SSR,NVSH,Sara Airport,Pentecost Island,Vanuatu,-15.4708003998,168.151992798
PBJ,NVSI,Tavie Airport,Paama Island,Vanuatu,-16.438999176,168.257003784
LPM,NVSL,Lamap Airport,Lamap,Vanuatu,-16.4611228,167.829253
LNB,NVSM,Lamen Bay Airport,Lamen Bay,Vanuatu,-16.584199905400002,168.158996582
MWF,NVSN,Maewo-Naone Airport,Maewo Island,Vanuatu,-15.0,168.082992554
LNE,NVSO,Lonorore Airport,Lonorore,Vanuatu,-15.8655996323,168.17199707
NUS,NVSP,Norsup Airport,Norsup,Vanuatu,-16.0797,167.401001
ZGU,NVSQ,Gaua Island Airport,Gaua Island,Vanuatu,-14.218099594099998,167.587005615
RCL,NVSR,Redcliffe Airport,Redcliffe,Vanuatu,-15.4720001221,167.835006714
SON,NVSS,Santo Pekoa International Airport,Santo,Vanuatu,-15.505000114399998,167.220001221
TGH,NVST,Tongoa Airport,Tongoa Island,Vanuatu,-16.8910999298,168.550994873
ULB,NVSU,Uléi Airport,Ambryn Island,Vanuatu,-16.3297,168.3011
VLS,NVSV,Valesdir Airport,Valesdir,Vanuatu,-16.796100616500002,168.177001953
SWJ,NVSX,Southwest Bay Airport,Malekula Island,Vanuatu,-16.4864,167.4472
OLJ,NVSZ,North West Santo Airport,Olpoi,Vanuatu,-14.881699562099998,166.557998657
AUY,NVVA,Aneityum Airport,Anelghowhat,Vanuatu,-20.2492008209,169.770996094
AWD,NVVB,Aniwa Airport,Aniwa,Vanuatu,-19.2346,169.6009
DLY,NVVD,Dillon's Bay Airport,Dillon's Bay,Vanuatu,-18.7693996429,169.00100708
FTA,NVVF,Futuna Airport,Futuna Island,Vanuatu,-19.5163993835,170.231994629
IPA,NVVI,Ipota Airport,Ipota,Vanuatu,-18.856389,169.283333
TGJ,NWWA,Tiga Airport,Tiga,New Caledonia,-21.096099853515625,167.8040008544922
BMY,NWWC,Île Art - Waala Airport,Waala,New Caledonia,-19.720600128173828,163.66099548339844
ILP,NWWE,Île des Pins Airport,Île des Pins,New Caledonia,-22.58889961242676,167.45599365234375
FBD,OAFZ,Fayzabad Airport,Faizabad,Afghanistan,37.121101,70.518097
AJF,OESK,Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,29.78510093688965,40.09999847412109
WAE,OEWD,Wadi Al Dawasir Airport,Wadi-al-dawasir,Saudi Arabia,20.504299163800003,45.1996002197
KHD,OICK,Khoram Abad Airport,Khorram Abad,Iran,33.43539810180664,48.282901763916016
BXR,OIKM,Bam Airport,Bam,Iran,29.084199905395508,58.45000076293945
RJN,OIKR,Rafsanjan Airport,Rafsanjan,Iran,30.297700881958008,56.05110168457031
BJB,OIMN,Bojnord Airport,Bojnourd,Iran,37.49300003051758,57.30820083618164
AFZ,OIMS,Sabzevar National Airport,Sabzevar,Iran,36.16809844970703,57.59519958496094
NSH,OINN,Noshahr Airport,Noshahr,Iran,36.66329956054688,51.46469879150391
SRY,OINZ,Dasht-e Naz Airport,Dasht-e-naz,Iran,36.635799408,53.1935997009
LRR,OISL,Lar Airport,Lar,Iran,27.6746997833,54.3833007812
ADU,OITL,Ardabil Airport,Ardabil,Iran,38.3256988525,48.4244003296
OMH,OITR,Urmia Airport,Uromiyeh,Iran,37.6680984497,45.0686988831
AAN,OMAL,Al Ain International Airport,Al Ain,United Arab Emirates,24.261699676513672,55.60919952392578
BNP,OPBN,Bannu Airport,Bannu,Pakistan,32.9729,70.527901
BHV,OPBW,Bahawalpur Airport,Bahawalpur,Pakistan,29.348100662231445,71.71800231933594
CJL,OPCH,Chitral Airport,Chitral,Pakistan,35.886600494384766,71.80059814453125
DBA,OPDB,Dalbandin Airport,Dalbandin,Pakistan,28.8782997131,64.3998031616
DEA,OPDG,Dera Ghazi Khan Airport,Dera Ghazi Khan,Pakistan,29.961000442504883,70.48590087890625
DSK,OPDI,Dera Ismael Khan Airport,Dera Ismael Khan,Pakistan,31.909400939941406,70.89659881591797
JIW,OPJI,Jiwani Airport,Jiwani,Pakistan,25.067800521900004,61.8054008484
HDD,OPKD,Hyderabad Airport,Hyderabad,Pakistan,25.3181,68.366096
KDD,OPKH,Khuzdar Airport,Khuzdar,Pakistan,27.790599823,66.6473007202
ORW,OPOR,Ormara Airport,Ormara Raik,Pakistan,25.274700164799995,64.58599853519999
PAJ,OPPC,Parachinar Airport,Parachinar,Pakistan,33.902099609400004,70.0716018677
KDU,OPSD,Skardu Airport,Skardu,Pakistan,35.33549880981445,75.53600311279297
SYW,OPSN,Sehwan Sharif Airport,Sehwan Sharif,Pakistan,26.473100662231445,67.71720123291016
TUK,OPTU,Turbat International Airport,Turbat,Pakistan,25.986400604248047,63.03020095825195
ISU,ORSU,Sulaymaniyah International Airport,Sulaymaniyah,Iraq,35.5617485046,45.3167381287
KAC,OSKL,Kamishly Airport,Kamishly,Syria,37.020599365234375,41.19139862060547
GXF,OYSY,Sayun International Airport,Sayun Intl,Yemen,15.9660997391,48.78829956049999
ADK,PADK,Adak Airport,Adak Island,United States,51.87799835205078,-176.64599609375
GST,PAGS,Gustavus Airport,Gustavus,United States,58.4253006,-135.7070007
SGY,PAGY,Skagway Airport,Skagway,United States,59.46009826660156,-135.3159942626953
HCR,PAHC,Holy Cross Airport,Holy Cross,United States,62.18830108642578,-159.77499389648438
HNS,PAHN,Haines Airport,Haines,United States,59.24380111694336,-135.5240020751953
KLG,PALG,Kalskag Airport,Kalskag,United States,61.53630065917969,-160.34100341796875
MCG,PAMC,McGrath Airport,Mcgrath,United States,62.95289993,-155.6060028
MOU,PAMO,Mountain Village Airport,Mountain Village,United States,62.095401763916016,-163.6820068359375
ANI,PANI,Aniak Airport,Aniak,United States,61.58160018920898,-159.54299926757812
VAK,PAVA,Chevak Airport,Chevak,United States,61.5409,-165.6005
WRG,PAWG,Wrangell Airport,Wrangell,United States,56.48429871,-132.3699951
OPU,AYBM,Balimo Airport,Balimo,Papua New Guinea,-8.05000019073,142.932998657
VMU,AYBA,Baimuru Airport,Baimuru,Papua New Guinea,-7.49686002731,144.819900513
LUP,PHLU,Kalaupapa Airport,Molokai,United States,21.21100044,-156.973999
ENT,PKMA,Eniwetok Airport,Eniwetok Atoll,Marshall Islands,11.340700149536133,162.3280029296875
LZN,RCFG,Matsu Nangan Airport,Matsu Islands,Taiwan,26.1598,119.958
HCN,RCKW,Hengchun Airport,Hengchun,Taiwan,22.041099548339844,120.7300033569336
MFK,RCMT,Matsu Beigan Airport,Matsu Islands,Taiwan,26.224199,120.002998
KUH,RJCK,Kushiro Airport,Kushiro,Japan,43.0410003662,144.192993164
OKD,RJCO,Okadama Airport,Sapporo,Japan,43.117447,141.38134
HSG,RJFS,Saga Airport,Saga,Japan,33.149700164799995,130.302001953
NKM,RJNA,Nagoya Airport,Nagoya,Japan,35.255001068115234,136.9239959716797
